name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197212,76082,197212,2952,2015-11-07 01:19:20+00:00,2026-08-21 11:36:04+00:00,Apache License 2.0
transformers,huggingface,Python,164297,34305,164297,2386,2018-10-29 13:56:00+00:00,2026-08-21 11:36:26+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89643,22017,89643,14,2021-03-03 01:34:05+00:00,2026-08-21 11:24:32+00:00,MIT License
funNLP,fighting41love,Python,82578,15271,82578,52,2018-08-21 11:20:39+00:00,2026-08-21 09:14:39+00:00,No License
awesome-machine-learning,josephmisiti,Python,74093,15617,74093,26,2014-07-15 19:11:19+00:00,2026-08-21 11:29:01+00:00,Other
scikit-learn,scikit-learn,Python,66989,27296,66989,2117,2010-08-17 09:43:38+00:00,2026-08-21 11:01:08+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43396,3577,43396,175,2018-12-19 08:24:04+00:00,2026-08-21 11:36:28+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36425,7449,36425,68,2021-01-02 12:08:37+00:00,2026-08-21 11:28:21+00:00,No License
C-Plus-Plus,TheAlgorithms,C++,34591,7851,34591,29,2016-07-16 10:19:45+00:00,2026-08-21 11:14:03+00:00,MIT License
netron,lutzroeder,JavaScript,33380,3173,33380,18,2010-12-26 12:53:43+00:00,2026-08-21 09:28:55+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32501,5431,32501,77,2017-02-05 12:11:23+00:00,2026-08-21 09:08:10+00:00,MIT License
applied-ml,eugeneyan,Unknown,30070,3992,30070,8,2020-07-04 18:57:47+00:00,2026-08-21 09:38:21+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28865,6147,28865,32,2016-10-09 21:20:25+00:00,2026-08-21 04:11:26+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28804,12906,28804,21,2019-07-13 19:52:56+00:00,2026-08-21 11:02:54+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27969,3533,27969,26,2023-09-06 19:31:06+00:00,2026-08-21 09:57:46+00:00,Other
shap,shap,Jupyter Notebook,25693,3743,25693,1010,2016-11-22 19:17:08+00:00,2026-08-21 09:28:06+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24771,4195,24771,30,2018-11-01 04:34:19+00:00,2026-08-21 03:56:31+00:00,MIT License
Paddle,PaddlePaddle,C++,24058,6014,24058,1506,2016-08-15 06:59:08+00:00,2026-08-21 11:36:11+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23726,3145,23726,54,2020-11-29 19:41:36+00:00,2026-08-21 09:38:34+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22330,4768,22330,18,2016-07-16 10:17:03+00:00,2026-08-21 09:19:45+00:00,GNU General Public License v3.0
onnx,onnx,Python,21339,4006,21339,282,2017-09-07 04:53:45+00:00,2026-08-21 11:36:17+00:00,Apache License 2.0
rasa,RasaHQ,Python,21299,4918,21299,153,2016-10-14 12:27:49+00:00,2026-08-21 11:20:18+00:00,Apache License 2.0
video2x,k4yt3x,C++,21006,1822,21006,130,2018-02-24 16:34:41+00:00,2026-08-21 09:45:58+00:00,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20858,2590,20858,31,2018-08-15 14:28:41+00:00,2026-08-21 09:18:54+00:00,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20565,5543,20565,7,2018-05-09 12:33:08+00:00,2026-08-21 11:38:56+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20138,4249,20138,20,2018-08-04 23:01:00+00:00,2026-08-21 11:27:12+00:00,MIT License
ml-agents,Unity-Technologies,C#,19642,4485,19642,20,2017-09-08 21:09:04+00:00,2026-08-21 10:52:49+00:00,Other
LightGBM,lightgbm-org,C++,18703,4055,18703,511,2016-08-05 05:45:50+00:00,2026-08-21 03:43:09+00:00,MIT License
ml-engineering,stas00,Python,18679,1203,18679,3,2020-09-02 19:23:01+00:00,2026-08-21 10:54:45+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18126,3969,18126,47,2015-09-12 14:51:38+00:00,2026-08-21 06:16:56+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17796,4627,17796,36,2019-07-05 12:49:53+00:00,2026-08-21 08:46:43+00:00,No License
brpc,apache,C++,17588,4135,17588,464,2017-09-04 09:28:47+00:00,2026-08-21 11:27:01+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17379,2126,17379,21,2021-06-25 09:39:16+00:00,2026-08-21 10:48:41+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16333,3744,16333,47,2019-04-06 22:29:49+00:00,2026-08-21 02:10:24+00:00,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16264,1179,16264,276,2023-02-13 13:51:45+00:00,2026-08-21 10:07:15+00:00,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15906,2847,15906,197,2017-12-08 10:52:21+00:00,2026-08-21 02:08:50+00:00,No License
kubeflow,kubeflow,Unknown,15824,2692,15824,0,2017-11-30 18:44:19+00:00,2026-08-20 01:56:32+00:00,Apache License 2.0
cheatsheets-ai,kailashahirwar,Unknown,15427,3372,15427,12,2017-05-24 12:06:56+00:00,2026-08-21 09:19:05+00:00,MIT License
ggml,ggml-org,C++,15212,1785,15212,348,2022-09-18 17:07:19+00:00,2026-08-21 11:37:05+00:00,MIT License
Qix,ty4z2008,Unknown,15189,4575,15189,0,2014-04-20 11:03:15+00:00,2026-08-21 05:56:50+00:00,Other
imgaug,aleju,Python,14738,2450,14738,311,2015-07-10 20:31:33+00:00,2026-08-21 09:38:07+00:00,MIT License
bullet3,bulletphysics,C++,14684,3088,14684,423,2011-04-12 18:45:08+00:00,2026-08-21 09:23:08+00:00,Other
ChatterBot,gunthercox,Python,14509,4419,14509,72,2014-09-28 14:49:00+00:00,2026-08-20 11:19:50+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,davisking,C++,14432,3442,14432,38,2014-01-29 00:45:33+00:00,2026-08-20 03:44:28+00:00,Boost Software License 1.0
nni,microsoft,Python,14363,1852,14363,415,2018-06-01 05:51:44+00:00,2026-08-20 11:20:41+00:00,MIT License
mit-deep-learning-book-pdf,janishar,Java,14202,2909,14202,12,2017-04-07 10:46:50+00:00,2026-08-20 18:15:15+00:00,No License
ivy,unifyai,Python,14171,5463,14171,985,2021-01-19 08:37:25+00:00,2026-08-20 13:28:04+00:00,Other
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13965,3099,13965,3,2020-04-17 04:29:23+00:00,2026-08-21 07:27:47+00:00,No License
handson-ml3,ageron,Jupyter Notebook,13964,5256,13964,107,2022-02-19 09:43:22+00:00,2026-08-21 11:26:19+00:00,Apache License 2.0
tvm,apache,Python,13674,3958,13674,234,2016-10-12 22:20:28+00:00,2026-08-21 10:59:25+00:00,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13274,2673,13274,20,2020-01-28 01:55:06+00:00,2026-08-21 09:48:12+00:00,No License
deep-learning-drizzle,kmario23,HTML,12931,2988,12931,5,2018-11-26 01:17:36+00:00,2026-08-21 06:10:44+00:00,No License
machine-learning-interview,khangich,Unknown,12787,2044,12787,9,2020-08-11 06:26:32+00:00,2026-08-21 11:28:55+00:00,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12639,4373,12639,13,2015-08-07 20:39:29+00:00,2026-08-21 06:28:32+00:00,MIT License
predictionio,apache,Scala,12518,1897,12518,80,2013-01-25 19:42:32+00:00,2026-08-21 05:59:51+00:00,Apache License 2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11630,916,11630,121,2018-05-11 01:55:21+00:00,2026-08-21 06:41:07+00:00,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11390,1866,11390,0,2015-02-22 23:48:16+00:00,2026-08-20 20:37:28+00:00,Creative Commons Attribution 4.0 International
MLAlgorithms,rushter,Python,11168,1768,11168,10,2016-10-05 06:46:45+00:00,2026-08-20 06:35:49+00:00,MIT License
